ticker,manager,total_value,portfolio_pct,recent_actions,action_details,periods,change_type,concentration_score,_analysis_type,_generated,_periods,_window_quarters
META,Robert Vinall,89978000,20.95,"Reduce, Reduce",Reduce 2.43%; Reduce 2.29%,"Q4 2025, Q3 2025",Reduced,20.95,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
BABA,Dennis Hong,55430000,10.44,Buy,Buy,Q4 2025,New High Conviction,20.88,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
GRBK,David Einhorn,593226000,20.82,,,,Maintained,20.82,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
TDG,Bryan Lawrence,32142000,13.78,Add,Add 13.51%,Q3 2025,Increased,20.67,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
AXP,Warren Buffett,56088379000,20.46,,,,Maintained,20.46,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
ORLA,Prem Watsa,423611000,20.33,Reduce,Reduce 44.00%,Q4 2025,Reduced,20.33,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
CACC,Robert Vinall,57841000,13.47,Add,Add 1.16%,Q3 2025,Increased,20.205,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
GM,Greenhaven Associates,1234353000,20.01,"Reduce, Reduce, Reduce",Reduce 34.19%; Reduce 2.49%; Reduce 0.53%,"Q4 2025, Q3 2025, Q2 2025",Reduced,20.01,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
MSFT,AltaRock Partners,1007069000,19.75,"Reduce, Reduce",Reduce 18.95%; Reduce 0.36%,"Q4 2025, Q3 2025",Reduced,19.75,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
MCO,Chris Hohn,6798636000,12.67,"Add, Add",Add 0.46%; Add 0.64%,"Q3 2025, Q2 2025",Increased,19.005,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
BN,Josh Tarasoff,64864000,18.93,"Reduce, Buy, Sell",Reduce 1.04%; Buy; Sell 100.00%,"Q4 2025, Q3 2025, Q2 2025",Partial Exit,18.93,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
SGOV,Norbert Lou,56815000,18.88,Reduce,Reduce 2.60%,Q2 2025,Reduced,18.88,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
MA,Chuck Akre,1715654000,18.81,"Reduce, Reduce, Reduce",Reduce 4.76%; Reduce 4.24%; Reduce 1.07%,"Q4 2025, Q3 2025, Q2 2025",Reduced,18.81,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
V,John Armitage,1147172000,12.47,"Add, Add, Add",Add 37.24%; Add 24.76%; Add 99.20%,"Q4 2025, Q3 2025, Q2 2025",Increased,18.705,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
AMZN,Seth Klarman,489659000,9.28,Buy,Buy,Q4 2025,New High Conviction,18.56,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
RYCEF,Ruane Cunniff,670673000,18.19,,,,Maintained,18.19,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
BN,Bill Ackman,2817788000,18.15,"Reduce, Reduce, Add",Reduce 0.21%; Reduce 0.34%; Add 0.38%,"Q4 2025, Q3 2025, Q2 2025",Reduced,18.15,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
V,Chris Hohn,9723166000,18.12,"Reduce, Add, Add",Reduce 1.19%; Add 47.15%; Add 14.61%,"Q4 2025, Q3 2025, Q2 2025",Reduced,18.12,concentration_changes,2026-02-23,"Q4 2025, Q3 2025, Q2 2025",3
