ticker,company_name,managers_shown,total_value,unique_sellers,selling_managers,periods,shares_sold,remaining_holders,exit_rate_pct,total_sells,exit_status,buy_count,add_count,reduce_count,sell_count,_analysis_type,_generated,_periods,_window_quarters
KO,Coca Cola Co.,5,28234695000.0,8,"Lindsell Train, Bill Nygren, Christopher Bloomstran, Mairs & Power Funds, Dodge & Cox Funds, +3 more","Q4 2025, Q3 2025, Q1 2026",142552,9.0,47.05882352941176,11,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
CHTR,Charter Communications,5,5041327000.0,8,"Richard Pzena, First Pacific Advisors, Bill Nygren, Lee Ainslie, Triple Frond Partners, +3 more","Q4 2025, Q3 2025, Q1 2026",3184949,10.0,44.44444444444444,11,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
FISV,Fiserv Inc.,5,4802094000.0,8,"David Katz, Robert Olstein, Norbert Lou, David Tepper, Mairs & Power Funds, +3 more","Q4 2025, Q3 2025",2292687,10.0,44.44444444444444,9,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
SCHW,Charles Schwab Corp.,5,12697905000.0,8,"Greenhaven Associates, Bill Nygren, Viking Global Investors, Mairs & Power Funds, Dodge & Cox Funds, +3 more","Q4 2025, Q3 2025",14056111,12.0,40.0,14,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
JNJ,Johnson & Johnson,5,688876000.0,8,"Richard Pzena, David Katz, Robert Olstein, Mairs & Power Funds, Ariel Investments, +3 more","Q4 2025, Q3 2025, Q1 2026",822934,13.0,38.095238095238095,17,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
SBUX,Starbucks Corp.,5,664198000.0,7,"David Katz, Christopher Bloomstran, Stephen Mandel, Mairs & Power Funds, Francois Rochon, +2 more","Q4 2025, Q3 2025, Q1 2026",9202294,4.0,63.63636363636363,9,Partial Exit,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
ZTS,Zoetis Inc.,5,1232353000.0,7,"Bill Nygren, David Rolfe, AKO Capital, Dodge & Cox Funds, Polen Capital Management, +2 more","Q4 2025, Q3 2025",7229535,4.0,63.63636363636363,11,Partial Exit,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
ICLR,ICON plc,5,1182937000.0,7,"Greenhaven Associates, Glenn Greenberg, Lee Ainslie, Seth Klarman, Ruane Cunniff LP, +2 more","Q4 2025, Q3 2025",1343534,5.0,58.333333333333336,11,Partial Exit,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
PYPL,PayPal Holdings Inc.,5,285395000.0,7,"Lindsell Train, David Katz, Norbert Lou, David Rolfe, Mason Hawkins, +2 more","Q4 2025, Q3 2025, Q1 2026",2038289,7.0,50.0,12,Partial Exit,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
BAX,Baxter International Inc.,5,2585493000.0,7,"Richard Pzena, Hillman Value Fund, Bill Nygren, Mairs & Power Funds, Dodge & Cox Funds, +2 more","Q4 2025, Q3 2025, Q1 2026",9657874,8.0,46.66666666666666,9,Light Selling,0,0,0,0,most_sold_stocks,2026-05-01,"Q1 2026, Q4 2025, Q3 2025",3
