ticker,company_name,current_price,managers,total_value,avg_portfolio_pct,manager_count,max_portfolio_pct,conviction_score
GOOGL,Alphabet Inc.,281.19,"William Von Mueffling
Samantha McLemore
Steven Romick
Bill Nygren
Ruane Cunniff
Li Lu
David Rolfe
Bill Ackman
Chase Coleman
Josh Tarasoff",7405265000,6.96,13,16.67,11.08
PCOR,Procore Technologies Inc.,73.82,Dennis Hong,106846000,13.48,1,13.48,10.98
MCO,Moody's Corp.,480.3,"Chuck Akre
Valley Forge Capital Management
AltaRock Partners
Chris Hohn
AKO Capital",9352825000,10.59,5,14.56,10.66
CCL,Carnival Corp.,28.83,Sarah Ketterer,819081000,12.98,1,12.98,10.58
BUR,Burford Capital Ltd,9.95,Josh Tarasoff,45724000,12.86,1,12.86,10.49
DG,Dollar General,98.66,"Christopher Bloomstran
Seth Klarman",410966000,11.16,2,14.91,10.45
MKL,Markel Group Inc.,1974.53,Josh Tarasoff,44851000,12.62,1,12.62,10.3
PYPL,PayPal Holdings Inc.,69.27,"Norbert Lou
David Rolfe
Lindsell Train",416532000,9.89,3,15.6,10.23
BABA,Alibaba Group Holdings,170.43,David Tepper,801499000,12.43,1,12.43,10.14
GXO,Gxo Logistics Inc.,56.21,Glenn Welling,43684000,12.22,1,12.22,9.98
APTV,Aptiv PLC,81.1,Alex Roepers,23943000,12.22,1,12.22,9.98
OSK,Oshkosh Corp.,123.29,Alex Roepers,23741000,12.11,1,12.11,9.89
LEN,Lennar Corp.,123.77,"Glenn Greenberg
Bryan Lawrence
Greenhaven Associates",1301737000,9.2,3,15.62,9.89
OKTA,Okta Inc.,91.53,Dennis Hong,95401000,12.04,1,12.04,9.83
CSGP,CoStar Group Inc.,68.81,"Chuck Akre
Dennis Hong",857489000,10.54,2,13.76,9.8
V,Visa Inc.,340.74,"ValueAct Capital
Chuck Akre
David Rolfe
Valley Forge Capital Management
Chris Hohn
Terry Smith
Polen Capital Management
AKO Capital
John Armitage",13314770000,7.94,9,13.35,9.78
INTU,Intuit Inc.,667.55,"Dennis Hong
AKO Capital
Jensen Investment Management
Lindsell Train",1660983000,9.67,4,13.8,9.78
CNI,Canadian Natl Railway Co.,95.91,Bill & Melinda Gates Foundation Trust,5704179000,11.94,1,11.94,9.75
