ticker,company_name,current_price,top_managers,managers_shown,manager_count,total_value,avg_portfolio_pct,total_shares,max_portfolio_pct,first_reported_date,latest_period,buy_count,last_buy_period,historical_buyers,active_managers,appeal_score,investment_timing,reported_price,_analysis_type,_generated,_periods,_window_quarters
CVNA,Carvana Co.,314.38,"Viking Global Investors, Stephen Mandel, Henry Ellenbogen, Clifford Sosin, Lee Ainslie, +1 more",5,7,3861633000,17.94,9150357,83.25,,Q4 2025,46.0,Q4 2025,13.0,7,7.1,Strong,422.02,interesting_stocks_overview,2026-04-01,Q4 2025,1
AVGO,Broadcom Inc.,309.51,"Stephen Mandel, Chase Coleman, Sarah Ketterer, Polen Capital Management, Jensen Investment Management, +1 more",5,9,4521702000,3.08,13064727,8.62,,Q4 2025,30.0,Q4 2025,12.0,9,6.93,Strong,346.1,interesting_stocks_overview,2026-04-01,Q4 2025,1
OXY,Occidental Petroleum,65.0,"Bruce Berkowitz, Li Lu, Warren Buffett, Leon Cooperman, Duan Yongping, +1 more",5,8,14038718000,3.77,341409989,11.94,"May 25, 2018",Q4 2025,44.0,Q4 2025,12.0,8,6.91,Strong,41.11,interesting_stocks_overview,2026-04-01,Q4 2025,1
CVS,CVS Health Corp.,71.82,"Prem Watsa, Samantha McLemore, Robert Olstein, Christopher Davis, Dodge & Cox, +1 more",5,8,4681914000,3.77,58995842,10.33,"May 25, 2018",Q4 2025,61.0,Q4 2025,16.0,8,6.91,Strong,79.35,interesting_stocks_overview,2026-04-01,Q4 2025,1
TMO,Thermo Fisher Scientific,491.53,"Viking Global Investors, Daniel Loeb, Wallace Weitz, Polen Capital Management, Lindsell Train, +1 more",5,10,1604080000,2.24,2768280,10.13,"Dec 31, 2014",Q4 2025,62.0,Q4 2025,17.0,10,6.9,Strong,579.45,interesting_stocks_overview,2026-04-01,Q4 2025,1
BABA,Alibaba Group Holdings,125.46,"Daniel Loeb, David Tepper, Duan Yongping, Samantha McLemore, Francis Chou, +1 more",5,7,1501955000,4.47,10246649,10.99,,Q4 2025,93.0,Q4 2025,29.0,7,6.89,Strong,146.58,interesting_stocks_overview,2026-04-01,Q4 2025,1
FERG,Ferguson Enterprises Inc.,233.26,"Nelson Peltz, Henry Ellenbogen, Lee Ainslie, Seth Klarman, Francois Rochon, +1 more",5,10,1826960000,2.17,8206263,6.07,,Q4 2025,47.0,Q4 2025,13.0,10,6.87,Strong,222.63,interesting_stocks_overview,2026-04-01,Q4 2025,1
GM,General Motors,74.5,"Viking Global Investors, Prem Watsa, Samantha McLemore, Francis Chou, Harry Burn, +1 more",5,7,1976003000,4.43,24299059,20.01,"May 25, 2018",Q4 2025,75.0,Q4 2024,15.0,7,6.87,Strong,81.32,interesting_stocks_overview,2026-04-01,Q4 2025,1
ELV,Elevance Health Inc.,292.75,"Ruane Cunniff, Glenn Greenberg, Leon Cooperman, Seth Klarman, First Eagle Investment Management, +1 more",5,6,2715396000,5.32,7746102,10.28,"May 18, 2018",Q4 2025,46.0,Q4 2025,11.0,6,6.8,Strong,350.55,interesting_stocks_overview,2026-04-01,Q4 2025,1
PDD,Pinduoduo Inc.,102.18,"Norbert Lou, Li Lu, David Tepper, Duan Yongping, Sarah Ketterer, +1 more",5,6,2124618000,6.88,18737268,15.64,,Q4 2025,33.0,Q4 2025,9.0,6,6.8,Strong,113.39,interesting_stocks_overview,2026-04-01,Q4 2025,1
